Group_1,Date_Time,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia,Point,latitude,longitude
23,2019-07-22 12:52:35,0.183245902,25.90488525,518.952459,0.15295082,0.692295082,0.869836066,0.888852459,4.166885246,11.80098361,33.87786885,127.9065574,10.38262295,8.718688525,0.259852459,23,43.10648,-89.3806
24,2019-07-22 13:08:08,0.147606557,25.91455738,518.0213115,0.150655738,0.683114754,0.924590164,0.944590164,4.246065574,11.73672131,33.69360656,130.4721311,10.58868852,8.74,0.209327869,24,43.10757,-89.3637
25,2019-07-22 13:16:25,0.169590164,26.1602623,514.5852459,0.910327869,3.74704918,1.593278689,1.644262295,6.25704918,12.66295082,36.34540984,143.242623,11.57229508,8.797540984,0.240459016,25,43.11365,-89.40071
26,2019-07-22 13:22:30,0.168229508,26.16819672,514.5803279,0.606557377,2.521311475,1.793114754,1.851639344,6.441311475,12.43622951,35.69655738,140.0163934,11.31032787,8.789508197,0.23852459,26,43.11373,-89.40646
27,2019-07-22 13:28:25,0.070704918,26.10277049,515.4,0.463114754,1.944262295,1.751639344,1.808688525,6.750819672,12.52360656,35.94672131,136.8901639,11.07131148,8.777377049,0.100196721,27,43.11041,-89.41569
28,2019-07-22 13:36:25,0.111622951,26.08332787,515.8213115,0.314098361,1.340983607,2.012622951,2.080327869,6.995901639,12.35262295,35.45688525,139.3344262,11.27311475,8.774754098,0.158327869,28,43.11465,-89.43193
29,2019-07-22 13:42:25,0.143196721,26.28201639,514.4901639,0.346065574,1.46852459,2.37852459,2.463934426,7.393114754,12.12131148,34.79114754,146.2360656,11.7895082,8.792459016,0.203065574,29,43.11191,-89.44092
30,2019-07-22 13:48:35,0.076885246,26.19390164,513.852459,0.381147541,1.611639344,2.036721311,2.106721311,7.270819672,12.29114754,35.28016393,144.5147541,11.66852459,8.810163934,0.109032787,30,43.11636,-89.42894
31,2019-07-22 13:54:12,0.032622951,26.19619672,513.7327869,1.018032787,4.180491803,1.864754098,1.926885246,6.437704918,12.98836066,37.27754098,142.642623,11.51803279,8.805409836,0.046196721,31,43.12007,-89.41977
32,2019-07-22 14:07:15,0.031081967,26.18072131,514.8491803,0.787868852,3.251147541,1.690983607,1.745737705,6.586393443,12.83065574,36.82737705,140.7639344,11.36934426,8.797540984,0.044180328,32,43.12,-89.42412
33,2019-07-22 14:14:35,0.06047541,26.16470492,515.0114754,0.324262295,1.383606557,1.455901639,1.500491803,5.495081967,11.95180328,34.3095082,139.0262295,11.23016393,8.79,0.085819672,33,43.1174,-89.3957
35,2019-07-22 14:00:55,0.077786885,26.02537705,512.6409836,3.098360656,12.57262295,1.506885246,1.553606557,5.661967213,16.47803279,47.28032787,133.5147541,10.81393443,8.71852459,0.110295082,35,43.12878,-89.42411
1,2019-07-26 09:55:40,-0.006901639,24.07140984,376.6295082,0.232131148,1.010819672,0.360491803,0.35704918,3.975901639,12.4357377,35.69557377,105.5786885,8.868032787,8.691639344,-0.009836066,1,43.08168,-89.41712
2,2019-07-26 10:02:10,-0.024688525,24.08245902,353.047541,0.166065574,0.745081967,0.23852459,0.227868852,3.469016393,10.32639344,29.64983607,106.5327869,8.946393443,8.68295082,-0.03504918,2,43.08174,-89.40932
3,2019-07-26 10:07:30,-0.027967213,24.14177049,379.3868852,0.106393443,0.502295082,0.205901639,0.194262295,4.069344262,10.41540984,29.90557377,107.1967213,8.992131148,8.669180328,-0.039557377,3,43.08504,-89.40103
4,2019-07-26 10:14:00,-0.057098361,24.17981967,355.842623,0.061967213,0.326557377,0.219016393,0.209180328,4.057540984,10.77491803,30.9352459,106.5803279,8.934590164,8.675409836,-0.081,4,43.08845,-89.38022
5,2019-07-26 10:19:20,-0.040901639,24.15952459,239.395082,0.146229508,0.66704918,0.229180328,0.21852459,4.996557377,9.696229508,27.8452459,106.6213115,8.943770492,8.68,-0.058114754,5,43.09123,-89.39029
6,2019-07-26 10:26:05,-0.01457377,23.798,50.54754098,0.105245902,0.498032787,0.286885246,0.279180328,30.43278689,3.085901639,8.900655738,107.5196721,9.084754098,8.563606557,-0.020508197,6,43.0968,-89.40295
7,2019-07-26 10:33:25,-0.022442623,24.32947541,465.2967213,0.06442623,0.335409836,0.238852459,0.229016393,4.672622951,12.36393443,35.48885246,107.8852459,9.014918033,8.71442623,-0.031704918,7,43.09528,-89.41889
8,2019-07-26 10:39:14,-0.007,24.29667213,113.2,0.191967213,0.849836066,0.408852459,0.406229508,4.276229508,12.23393443,35.11672131,108.9885246,9.121311475,8.719344262,-0.01,8,43.09239,-89.42471
9,2019-07-26 10:44:36,-0.039885246,24.28918033,160.1606557,0.208032787,0.912622951,0.424098361,0.422131148,4.923114754,12.37540984,35.52131148,108.6819672,9.096557377,8.710327869,-0.056557377,9,43.0982,-89.43106
